frame,time_seconds,player_id,confidence,x1,y1,x2,y2,ground_x,ground_y,inside_forward50,zone
25,0.5,4,0.6421,97.49,575.18,128.38,643.01,112.94,643.01,True,left_pocket
25,0.5,5,0.6335,1413.0,728.22,1451.01,828.65,1432.0,828.65,True,central_corridor
25,0.5,7,0.7292,963.74,554.0,991.06,620.1,977.4,620.1,True,left_half_forward
25,0.5,9,0.4358,221.92,492.01,245.42,546.14,233.67,546.14,False,outside
25,0.5,15,0.3823,1345.26,612.74,1375.5,688.5,1360.38,688.5,True,central_corridor
25,0.5,11,0.457,140.23,522.96,160.37,574.69,150.3,574.69,True,left_pocket
25,0.5,3,0.4308,1139.67,691.3,1208.64,818.94,1174.15,818.94,True,central_corridor
26,0.52,1,0.4943,1372.08,705.76,1409.78,811.92,1390.93,811.92,True,central_corridor
26,0.52,2,0.7047,1481.39,848.5,1533.74,984.73,1507.57,984.73,False,outside
26,0.52,4,0.6009,98.0,575.68,128.92,642.01,113.46,642.01,True,left_pocket
26,0.52,5,0.5578,1411.98,728.21,1448.88,829.16,1430.43,829.16,True,central_corridor
26,0.52,7,0.6772,964.07,554.2,991.6,621.94,977.84,621.94,True,left_half_forward
26,0.52,9,0.4798,221.0,489.38,246.05,547.76,233.53,547.76,False,outside
26,0.52,11,0.4326,140.3,523.57,160.62,574.06,150.46,574.06,True,left_pocket
27,0.54,1,0.5815,1370.93,707.82,1410.01,814.18,1390.47,814.18,True,central_corridor
27,0.54,2,0.7173,1481.33,848.61,1537.62,984.58,1509.47,984.58,False,outside
27,0.54,4,0.5957,99.05,576.47,128.17,643.72,113.61,643.72,True,left_pocket
27,0.54,5,0.535,1408.62,730.32,1444.6,830.38,1426.61,830.38,True,central_corridor
27,0.54,7,0.6144,965.99,554.95,992.92,621.11,979.45,621.11,True,left_half_forward
27,0.54,9,0.4588,220.47,490.24,245.56,550.24,233.01,550.24,False,outside
27,0.54,11,0.4856,141.06,525.81,161.3,574.65,151.18,574.65,True,left_pocket
27,0.54,6,0.3689,1047.88,533.03,1072.93,596.76,1060.4,596.76,True,left_half_forward
27,0.54,15,0.3702,1349.33,613.23,1377.79,688.52,1363.56,688.52,True,central_corridor
28,0.56,1,0.5923,1370.22,708.46,1409.89,814.96,1390.05,814.96,True,central_corridor
28,0.56,2,0.7149,1481.12,848.48,1539.92,984.61,1510.52,984.61,False,outside
28,0.56,4,0.6108,99.36,576.38,127.69,644.15,113.53,644.15,True,left_pocket
28,0.56,5,0.5294,1407.51,730.81,1442.99,831.19,1425.25,831.19,True,central_corridor
28,0.56,7,0.5955,966.62,555.15,993.51,620.53,980.06,620.53,True,left_half_forward
28,0.56,9,0.4672,220.25,490.49,245.26,551.64,232.75,551.64,False,outside
28,0.56,11,0.4907,141.38,526.51,161.75,574.68,151.57,574.68,True,left_pocket
28,0.56,17,0.3625,1194.33,474.68,1222.1,525.18,1208.22,525.18,True,central_corridor
28,0.56,6,0.3744,1048.19,533.78,1073.63,596.79,1060.91,596.79,True,left_half_forward
28,0.56,15,0.3691,1350.29,613.22,1378.29,688.5,1364.29,688.5,True,central_corridor
29,0.58,1,0.6398,1369.36,710.29,1407.72,819.08,1388.54,819.08,True,central_corridor
29,0.58,2,0.7214,1480.95,848.59,1537.54,984.6,1509.24,984.6,False,outside
29,0.58,4,0.6162,99.24,575.57,125.86,644.33,112.55,644.33,True,left_pocket
29,0.58,5,0.6186,1404.77,729.03,1439.32,832.07,1422.04,832.07,True,central_corridor
29,0.58,7,0.5249,967.59,556.39,995.12,620.6,981.35,620.6,True,left_half_forward
29,0.58,9,0.4705,219.71,489.15,245.4,552.4,232.56,552.4,False,outside
29,0.58,11,0.5514,142.1,527.32,163.6,576.58,152.85,576.58,True,left_pocket
29,0.58,17,0.3792,1194.67,474.2,1222.43,526.4,1208.55,526.4,True,central_corridor
29,0.58,6,0.3768,1050.43,535.99,1074.82,597.85,1062.63,597.85,True,left_half_forward
29,0.58,15,0.4417,1350.83,613.89,1378.69,688.77,1364.76,688.77,True,central_corridor
